ident,locale
KM93,"Mc Kinnon, Tennessee"
K5P2,"Mc Laughlin, South Dakota"
K2E7,"Mc Lean, Texas"
8M6,"Mc Ville, North Dakota"
US-6345,"McCook, Texas"
K26U,"McDermitt, Oregon"
US-4187,"McMinnville, Tennessee"
27C,"Mecosta, Michigan"
KK51,"Medicine Lodge, Kansas"
XS11,"Medina, Texas"
8FD2,"Melrose, Florida"
FD22,"Melrose, Florida"
US-3283,"Memphis, Tennessee"
KF21,"Memphis, Texas"
0C7,"Mendota, Illinois"
NV11,"Mercury, Nevada"
0MS0,"Meridian, Mississippi"
KNJW,"Meridian, Mississippi"
WS23,"Merrill, Wisconsin"
KM30,"Metropolis, Illinois"
K3E0,"Miami, Texas"
3W9,"Middle Bass Island, Ohio"
PAMD,"Middleton Island, Alaska"
7TX5,"Midland, Texas"
2TS6,"Midlothian, Texas"
78XA,"Millsap, Texas"
4R6,"Milnor, North Dakota"
PAMH,"Minchumina, Alaska"
K3F9,"Mineola, Texas"
OH13,"Minerva, Ohio"
OH15,"Minerva, Ohio"
1U0,"Minidoka, Idaho"
K45K,"Minneapolis, Kansas"
K0V6,"Mission, South Dakota"
UT53,"Moab, Utah"
1AZ0,"Mobile, Arizona"
43NC,"Mocksville, North Carolina"
KHBC,"Mohall, North Dakota"
2IL9,"Monee, Illinois"
WS96,"Monroe, Wisconsin"
0WI4,"Montello, Wisconsin"
AL12,"Montgomery, Alabama"
6Y0,"Moorestown, Michigan"
66TN,"Morrison, Tennessee"
KF85,"Morton, Texas"
39P,"Morton, Washington"
56WI,"Mosinee, Wisconsin"
K3P3,"Mott, North Dakota"
L44,"Moundville, Alabama"
C55,"Mount Morris, Illinois"
25AR,"Mount Pleasant, Arkansas"
XS20,"Mountain Home, Texas"
WI24,"Mt Horeb, Wisconsin"
K1U2,"Mud Lake, Idaho"
TA24,"Mullin, Texas"
TA89,"Mullin, Texas"
23Y,"Murdock, Minnesota"
3NE5,"Murdock, Nebraska"
TN65,"Murfreesburg, Tennessee"
PAPK,"Napaskiak, Alaska"
6H4,"Napoleon, Michigan"
K5B5,"Napoleon, North Dakota"
KM77,"Nashville, Arkansas"
K4J2,"Nashville, Georgia"
9IS0,"Nauvoo, Illinois"
K1V0,"Navajo Dam, New Mexico"
19AR,"Naylor, Arkansas"
PAOU,"Nelson Lagoon, Alaska"
KM72,"New Albany, Mississippi"
57XA,"New Braunfels, Texas"
1PA5,"New Galilee, Pennsylvania"
1Y5,"New Hampton, Iowa"
6B3,"New Lothrop, Michigan"
K8J7,"New Rockford, North Dakota"
K05D,"New Town, North Dakota"
25Y,"New York Mills, Minnesota"
US-0951,"Newberry, Michigan"
KEOE,"Newberry, South Carolina"
KECS,"Newcastle, Wyoming"
PAEW,"Newtok, Alaska"
K41N,"Newton Falls, Ohio"
0S5,"Nez Perce, Idaho"
79KY,"Nicholasville, Kentucky"
PAGT,"Nightmute, Alaska"
PAFS,"Nikolai, Alaska"
PANO,"Nondalton, Alaska"
KXNO,"North, South Carolina"
84C,"North Cape, Wisconsin"
43Y,"Northome, Minnesota"
47OH,"Norwalk, Ohio"
PANU,"Nulato, Alaska"
US-5647,"Nunica, Michigan"
K2D5,"Oakes, North Dakota"
8AR1,"Oakland, Arkansas"
KOLZ,"Oelwein, Iowa"
5F8,"Oil City, Louisiana"
2KY5,"Olive Hill, Kentucky"
05UT,"Oljato-Monument Valley, Utah"
KL47,"Olla, Louisiana"
9NE6,"Omaha, Nebraska"
52K,"Onaga, Kansas"
KK36,"Onawa, Iowa"
Y96,"Onaway, Michigan"
K20A,"Oneonta, Alabama"
NY25,"Oneonta, New York"
K98D,"Onida, South Dakota"
44SC,"Orangeburg, South Carolina"
KODX,"Ord, Nebraska"
NV68,"Orovada, Nevada"
KVVV,"Ortonville, Minnesota"
KK75,"Osborne, Kansas"
K7M4,"Osceola, Arkansas"
AL71,"Our Town, Alabama"
K10U,"Owyhee, Nevada"
2K2,"Ozark, Missouri"
5KY3,"Paducah, Kentucky"
K2G1,"Painesville, Ohio"
9KY9,"Paintsville, Kentucky"
2XS3,"Palestine, Texas"
04CA,"Palmdale, California"
3AK2,"Palmer, Alaska"
AK1,"Palmer, Alaska"
88C,"Palmyra, Wisconsin"
TA65,"Palo Pinto, Texas"
29AZ,"Paloma, Arizona"
TX13,"Pampa, Texas"
US-1833,"Panama City, Florida"
KU55,"Panguitch, Utah"
2H4,"Parchment, Michigan"
K8V3,"Parkston, South Dakota"
KY74,"Parshall, North Dakota"
US-1107,"Parsons, Kansas"
K0M1,"Parsons, Tennessee"
WA24,"Pasco, Washington"
US-1628,"Paso Robles, California"
WA76,"Paterson, Washington"
CN99,"Patterson, California"
U99,"Paul, Idaho"
2C5,"Paw Paw, Michigan"
OL36,"Pawhuska, Oklahoma"
XS71,"Pawnee, Texas"
XS40,"Pearsall, Texas"
29OK,"Perry, Oklahoma"
KPYX,"Perryton, Texas"
PAPE,"Perryville, Alaska"
88G,"Petersburg, Michigan"
US-1062,"Philipsburg, Montana"
5MS5,"Picayune, Mississippi"
KPYN,"Piedmont, Missouri"
PAPN,"Pilot Point, Alaska"
52I,"Pinconning, Michigan"
K71A,"Pine Hill, Alabama"
KI16,"Pineville, West Virginia"
0OH8,"Piqua, Ohio"
K04M,"Pittsboro, Mississippi"
P15,"Pittsfield, Pennsylvania"
P27,"Pixley, California"
WN09,"Plainfield, Wisconsin"
7A9,"Plains, Georgia"
0R9,"Plainville, Kansas"
K1D3,"Platte, South Dakota"
03CO,"Platteville, Colorado"
1CD2,"Platteville, Colorado"
NM86,"Playas, New Mexico"
Y99,"Plaza, North Dakota"
14OI,"Pleasant Home, Ohio"
57K,"Pleasanton, Kansas"
US-5643,"Plymouth, Indiana"
US-0884,"Point Cedar, Arkansas"
K3I2,"Point Pleasant, West Virginia"
KL66,"Pollock, Louisiana"
13NC,"Pollocksville, North Carolina"
2K1,"Pond Creek, Oklahoma"
6MN0,"Ponsford, Minnesota"
K22M,"Pontotoc, Mississippi"
05CL,"Pope Valley, California"
KM13,"Poplarville, Mississippi"
MS88,"Poplarville, Mississippi"
3MO4,"Portageville, Missouri"
61Y,"Poseyville, Indiana"
XS91,"Poynor, Texas"
2U0,"Prairie, Idaho"
OR17,"Prairie City, Oregon"
US-5176,"Prairie Home, Missouri"
0P1,"Prairie View, Kansas"
LA42,"Prairieville, Louisiana"
K4F7,"Prescott, Arkansas"
5P5,"Presho, South Dakota"
KFKA,"Preston, Minnesota"
MN47,"Princeton, Minnesota"
OG21,"Prineville, Oregon"
US-5185,"Prineville, Oregon"
PAPR,"Prospect Creek, Alaska"
K8M9,"Providence, Kentucky"
92C,"Pulaski, Wisconsin"
M86,"Pullman, Michigan"
6FL3,"Punta Gorda, Florida"
F13,"Punta Gorda, Florida"
NM68,"Quemado, New Mexico"
50XS,"Quemado, Texas"
KN24,"Questa, New Mexico"
US-0885,"Quinter, Kansas"
8FA1,"Raiford, Florida"
TT12,"Rainbow, Texas"
NM67,"Raton, New Mexico"
7.00E+03,"Ravenna, Ohio"
LA30,"Rayne, Louisiana"
KM79,"Rayville, Louisiana"
14TS,"Realitos, Texas"
K7M8,"Rector, Arkansas"
XS59,"Refugio, Texas"
52Y,"Remer, Minnesota"
KT16,"Reserve, New Mexico"
KMO1,"Richland, Missouri"
0VA5,"Richmond, Virginia"
K3I4,"Richwood, West Virginia"
4S6,"Rimrock, Washington"
94C,"Rio, Wisconsin"
XS62,"Rio Frio, Texas"
K25M,"Ripley, Mississippi"
US-5649,"Rising Sun, Indiana"
K33S,"Ritzville, Washington"
37N,"Riverdale, North Dakota"
8IA8,"Riverside, Iowa"
ND54,"Robinson, North Dakota"
TE62,"Robstown, Texas"
44XA,"Robstown, Texas"
US-4578,"Rochester, New York"
MI00,"Rock, Michigan"
XS67,"Rockport, Texas"
3TA0,"Rocksprings, Texas"
KECU,"Rocksprings, Texas"
13ME,"Rockwood, Maine"
1CO5,"Rocky Ford, Colorado"
VG40,"Rocky Mount, Virginia"
KPZQ,"Rogers City, Michigan"
US-1173,"Rogue River, Oregon"
K2H9,"Rolette, North Dakota"
K06D,"Rolla, North Dakota"
XS73,"Rosanky, Texas"
54M,"Rossville, Tennessee"
K56F,"Rotan, Texas"
42N,"Rothbury, Michigan"
71TE,"Round Mountain, Texas"
4WA0,"Royal City, Washington"
67SC,"Ruffin, South Carolina"
KRUG,"Rugby, North Dakota"
5K4,"Rushville, Illinois"
K4M7,"Russellville, Kentucky"
US-6427,"Sabina, Ohio"
KSKI,"Sac City, Iowa"
43MN,"Saginaw, Minnesota"
14AZ,"Sahuarita, Arizona"
8G8,"Salem, Ohio"
K44U,"Salina, Utah"
1N5,"Salisbury, Maryland"
0AZ2,"Salome, Arizona"
K1A4,"Samson, Alabama"
TS65,"San Angelo, Texas"
9TX5,"San Antonio, Texas"
K78R,"San Augustine, Texas"
4AZ7,"San Carlos, Arizona"
XS94,"San Ygnacio, Texas"
US-0661,"Sanderson, Texas"
96G,"Sandusky, Michigan"
04NV,"Sandy Valley, Nevada"
9CA7,"Sanger, California"
38XS,"Santa Elena, Texas"
XS93,"Santa Elena, Texas"
US-0248,"Santa Margarita, California"
0CA1,"Santa Maria, California"
K09K,"Sargent, Nebraska"
K1K9,"Satanta, Kansas"
KL83,"Schriever, Louisiana"
3R8,"Scottsburg, Indiana"
KF97,"Seagraves, Texas"
26AR,"Searcy, Arkansas"
K3G6,"Sebring, Ohio"
KSEQ,"Seguin, Texas"
KSZY,"Selmer, Tennessee"
KSRE,"Seminole, Oklahoma"
39TE,"Seminole, Texas"
93KS,"Seneca, Kansas"
OG14,"Seneca, Oregon"
K7SP,"Seven Springs Borough, Pennsylvania"
KH58,"Seymour, Missouri"
PFSH,"Shaktoolik, Alaska"
0CA9,"Shandon, California"
OK22,"Shawnee, Oklahoma"
93MS,"Shelby, Mississippi"
6K2,"Shelbyville, Missouri"
21MU,"Shell Knob, Missouri"
US-4238,"Shell Knob, Missouri"
W34,"Shiocton, Wisconsin"
1MS8,"Shuqualak, Mississippi"
29IA,"Sidney, Iowa"
KBFW,"Silver Bay, Minnesota"
K94E,"Silver City, New Mexico"
NM72,"Silver City, New Mexico"
2F6,"Skiatook, Oklahoma"
US-4992,"Skwentna, Alaska"
9K5,"Slater, Missouri"
01LS,"Slaughter, Louisiana"
KDVP,"Slayton, Minnesota"
Y58,"Sleepy Eye, Minnesota"
PASL,"Sleetmute, Alaska"
US-5184,"Slickpoo, Idaho"
11G,"Smiths Creek, Michigan"
92MU,"Smithville, Missouri"
K95E,"Socorro, New Mexico"
WS51,"Soldiers Grove, Wisconsin"
US-4572,"Somerville, Alabama"
49IL,"Somonauk, Illinois"
TE37,"Sonora, Texas"
K4J8,"Soperton, Georgia"
FL41,"South Bay, Florida"
84MI,"South Branch, Michigan"
PFWS,"South Naknek, Alaska"
K7K8,"South Sioux City, Nebraska"
KE42,"Spearman, Texas"
NE81,"Spencer, Nebraska"
TN85,"Spencer, Tennessee"
WA23,"Springdale, Washington"
KS42,"Springer, New Mexico"
MO2,"Springfield, Missouri"
US-5652,"Springfield, Ohio"
KY03,"Springfield, South Dakota"
5Y5,"St Clair, Michigan"
US-6423,"St Clairsville, Ohio"
57FA,"St Cloud, Florida"
6Y6,"St Helen, Michigan"
61G,"St Johns, Michigan"
25IA,"St. Ansgar, Iowa"
3TA,"Stafford, Kansas"
KF56,"Stamford, Texas"
KS64,"Stanford, Montana"
US-5478,"Stanley, Idaho"
K08D,"Stanley, North Dakota"
KI50,"Stanton, Kentucky"
ID92,"Star, Idaho"
1WN3,"Star Prairie, Wisconsin"
D32,"Starbuck, Minnesota"
KM51,"Starkville, Mississippi"
KM12,"Steele, Missouri"
K4F8,"Stephens, Arkansas"
17TX,"Stephenville, Texas"
US-2862,"Sterling, Alaska"
US-2546,"Sterling, Kansas"
70N,"Sterling, Pennsylvania"
US-2573,"Sterling City, Texas"
SVS,"Stevens Village, Alaska"
K7A6,"Stevenson, Alabama"
K32S,"Stevensville, Montana"
KO11,"Stilwell, Oklahoma"
2TS8,"Stockdale, Texas"
8OA7,"Stockport, Ohio"
CN95,"Stockton, California"
KRCP,"Stockton, Kansas"
14WS,"Stone Lake, Wisconsin"
93B,"Stonington, Maine"
36CA,"Stratford, California"
92CA,"Stratford, California"
KH70,"Stratford, Texas"
1VA1,"Stuart, Virginia"
KTWT,"Sturgis, Kentucky"
XA05,"Sudan, Texas"
31WI,"Sullivan, Wisconsin"
KSXL,"Summersville, West Virginia"
OH14,"Sunbury, Ohio"
K1S5,"Sunnyside, Washington"
KX43,"Sunray, Texas"
95FA,"Suwannee, Florida"
ME5,"Swans Island, Maine"
KNJM,"Swansboro, North Carolina"
KSYV,"Sylvester, Georgia"
K3K3,"Syracuse, Kansas"
K2F4,"Tahoka, Texas"
K41A,"Tallassee, Alabama"
TSG,"Tanacross, Alaska"
PATA,"Tanana, Alaska"
KK57,"Tarkio, Missouri"
34G,"Tecumseh, Michigan"
36MI,"Tecumseh, Michigan"
WY00,"Ten Sleep, Wyoming"
8WY6,"Ten Sleep, Wyoming"
TA70,"Tennessee Colony, Texas"
PHHF,"Tern Island, Hawaii"
US-0967,"Thatcher, Idaho"
KTIF,"Thedford, Nebraska"
MO56,"Theodosia, Missouri"
US-3785,"Theriot, Louisiana"
7MN8,"Thief River Falls, Minnesota"
K1O4,"Thomas, Oklahoma"
73OH,"Thompson, Ohio"
7Y2,"Thompsonville, Michigan"
US-1274,"Three Forks, Montana"
5AR1,"Tillar, Arkansas"
D58,"Timber Lake, South Dakota"
PATC,"Tin City, Alaska"
KD60,"Tioga, North Dakota"
K8C4,"Tipton, Iowa"
K0M2,"Tiptonville, Tennessee"
01OL,"Tishomingo, Oklahoma"
K6G1,"Titusville, Pennsylvania"
PAOO,"Toksook Bay, Alaska"
01WI,"Tomah, Wisconsin"
4WI4,"Tomahawk, Wisconsin"
KTZV,"Tompkinsville, Kentucky"
1G8,"Toronto, Ohio"
D61,"Towner, North Dakota"
6FL8,"Trenton, Florida"
KTGC,"Trenton, Tennessee"
K57S,"Troy, Montana"
KAYX,"Tullahoma, Tennessee"
91N,"Turtle Lake, North Dakota"
AL73,"Tuskegee, Alabama"
3ND6,"Tuttle, North Dakota"
US-1000,"Twin Bridges, Montana"
2XS5,"Twin Sisters, Texas"
63Y,"Tyler, Minnesota"
96OR,"Ukiah, Oregon"
KULS,"Ulysses, Kansas"
PAUM,"Umiat, Alaska"
PAUN,"Unalakleet, Alaska"
5LL7,"Union, Illinois"
2VG2,"Upperville, Virginia"
38I,"Urbana, Ohio"
K0J9,"Utica, Nebraska"
04TT,"Utopia, Texas"
US-4950,"Utopia, Texas"
US-6442,"Utopia, Texas"
2XS8,"Uvalde, Texas"
K7S7,"Valier, Montana"
US-6346,"Van Alstyne, Texas"
WI46,"Van Dyne, Wisconsin"
PAVE,"Venetie, Alaska"
KM55,"Vernon, Alabama"
29TX,"Vernon, Texas"
W19,"Verona, Wisconsin"
88WS,"Verona, Wisconsin"
29N,"Vineland, New Jersey"
06MN,"Virginia, Minnesota"
PAWT,"Wainwright, Alaska"
K0H1,"WaKeeney, Kansas"
KM27,"Waldron, Arkansas"
K96D,"Walhalla, North Dakota"
9TS3,"Waller, Texas"
KWAL,"Wallops Island, Virginia"
K2S4,"Warden, Washington"
K62D,"Warren, Ohio"
2VA9,"Warrenton, Virginia"
38CA,"Wasco, California"
K5C8,"Washburn, North Dakota"
KVWU,"Waskish, Minnesota"
4C2,"Waterloo, Indiana"
2SC5,"Waterloo, South Carolina"
68LS,"Waterproof, Louisiana"
72MI,"Watersmeet, Michigan"
15MN,"Watkins, Minnesota"
K3G1,"Wattsburg, Pennsylvania"
3N8,"Waubun, Minnesota"
00WI,"Waupaca, Wisconsin"
WI07,"Waupun, Wisconsin"
60TA,"Waxahachie, Texas"
41C,"Wayland, Michigan"
KBXG,"Waynesboro, Georgia"
US-6551,"Weatherford, Texas"
KD11,"Weidman, Michigan"
3OL8,"Welch, Oklahoma"
KF06,"Wellington, Texas"
1MY1,"Wendell, Minnesota"
80G,"West Lafayette, Ohio"
K3Y2,"West Union, Iowa"
NY33,"Westerlo, New York"
MD99,"Westernport, Maryland"
KD64,"Westhope, North Dakota"
WV23,"Weston, West Virginia"
K94R,"Wharton, Texas"
KEAN,"Wheatland, Wyoming"
KETH,"Wheaton, Minnesota"
1S7,"White Bird, Idaho"
NC86,"White Oak, North Carolina"
7Q7,"White River, South Dakota"
KWSD,"White Sands, New Mexico"
58MT,"White Sulphur Springs, Montana"
TE99,"Whitney, Texas"
W23,"Wild Rose, Wisconsin"
AZ77,"Williams, Arizona"
US-1110,"Williamsburg, Ohio"
KW94,"Williamsburg, Virginia"
33VT,"Williamstown, Vermont"
K5W1,"Wilson Creek, Washington"
US-0655,"Winfield, Kansas"
US-5178,"Winfield, Kansas"
53W,"Winn, Michigan"
77NC,"Winnabow, North Carolina"
K0R5,"Winnfield, Louisiana"
77XA,"Winnie, Texas"
K6L5,"Wishek, North Dakota"
4D1,"Wonewoc, Wisconsin"
US-0916,"Woodland, California"
3SC4,"Woodruff, South Carolina"
US-6441,"Woodsboro, Texas"
K4G5,"Woodsfield, Ohio"
MS23,"Woodville, Mississippi"
MS57,"Woodville, Mississippi"
K1R4,"Woodworth, Louisiana"
3RU,"Woolsey, Georgia"
7WI6,"Wyocena, Wisconsin"
KFCT,"Yakima, Washington"
US-0087,"Yakima, Washington"
48G,"Yale, Michigan"
4Y8,"Yale, Michigan"
2C6,"Yates City, Illinois"
63NY,"Youngstown, New York"
K04G,"Youngstown, Ohio"
83FL,"Yulee, Florida"
KLGF,"Yuma Proving Ground(Yuma), Arizona"
KAPY,"Zapata, Texas"
MT08,"Zortman, Montana"
US-SC49,"Bamberg, South Carolina"
US-VA51,"Big Stone Gap, Virginia"
EOD,"Fort Campbell(Clarksville), Tennessee"
US-VA47,"Harrisonburg, Virginia"
HGT,"Jolon, California"
KHMY,"Lexington, Oklahoma"
US-VA74,"Mineral, Virginia"
76B,"Naples, Maine"
KMDA,"San Antonio, Texas"
US-UT73,"Toquerville, Utah"
US-UT77,"Tropic, Utah"
US-VA38,"Virginia Beach, Virginia"
US-VA53,"White Stone, Virginia"
WA98,"Cashmere, Washington"
US-1043,"Indianapolis, Indiana"
US-4844,"Jacksonville, Florida"
US-1262,"King Salmon, Alaska"
4FA7,"Lake Panasoffkee, Florida"
US-4991,"Lake Wales, Florida"
US-4185,"Leo-Cedarville, Indiana"
6MT4,"Libby, Montana"
US-0999,"New Meadows, Idaho"
NXF,"Oceanside, California"
WA19,"Redmond, Washington"
US-3224,"St Cloud, Florida"
US-3037,"St George, Utah"
US-1056,"Standish, Michigan"
US-6410,"Stanton, Michigan"
69WT,"Vashon, Washington"
AGGH,", "
AGGM,", "
AGGN,", "
AHJ,", "
AL-LA10,", "
ANYN,", "
AQ-0011,", "
AR-0298,", "
AR-0513,", "
AU-0032,", "
AU-0115,", "
AXO,", "
AYBK,", "
AYCH,", "
AYDU,", "
AYGA,", "
AYGN,", "
AYGR,", "
AYHK,", "
AYKM,", "
AYKV,", "
AYLE,", "
AYMD,", "
AYMH,", "
AYMN,", "
AYMO,", "
AYNZ,", "
AYPY,", "
AYTK,", "
AYVN,", "
AYWD,", "
AYWK,", "
AZ-0011,", "
BG-JAM,", "
BGBW,", "
BGCO,", "
BGGH,", "
BGMQ,", "
BGPT,", "
BGQQ,", "
BGSF,", "
BGSS,", "
BGTL,", "
BGUK,", "
BGUQ,", "
BIAR,", "
BIBD,", "
BIEG,", "
BIGR,", "
BIHN,", "
BIHU,", "
BIIS,", "
BIKF,", "
BIKR,", "
BIPA,", "
BIRK,", "
BISI,", "
BISS,", "
BITN,", "
BIVM,", "
BKPR,", "
BR-0030,", "
BR-0039,", "
BR-0062,", "
BR-0063,", "
BR-0569,", "
BR-1311,", "
BR-1526,", "
BW-0022,", "
BY-0022,", "
BZ-0008,", "
CA-0601,", "
CAA8,", "
CAD5,", "
CAH4,", "
CAJ3,", "
CAJ4,", "
CAJ7,", "
CAL3,", "
CAM5,", "
CAQ5,", "
CAT4,", "
CAU3,", "
CAU4,", "
CAZ5,", "
CBBC,", "
CBJ4,", "
CBQ8,", "
CBR2,", "
CBS2,", "
CBS8,", "
CBX7,", "
CBZ9,", "
CCC2,", "
CCE3,", "
CCG4,", "
CCN2,", "
CCP2,", "
CCQ3,", "
CCR3,", "
CCS3,", "
CCS4,", "
CCW3,", "
CCW4,", "
CCZ3,", "
CDA4,", "
CDA5,", "
CDH1,", "
CDJ4,", "
CDT5,", "
CDU6,", "
CDU9,", "
CDV2,", "
CDY3,", "
CEA3,", "
CEA5,", "
CEA6,", "
CEB5,", "
CEC4,", "
CED3,", "
CED5,", "
CEE5,", "
CEF3,", "
CEF4,", "
CEH4,", "
CEH5,", "
CEH6,", "
CEJ3,", "
CEJ4,", "
CEJ6,", "
CEL4,", "
CEL5,", "
CEM4,", "
CEM5,", "
CEN3,", "
CEN4,", "
CEN5,", "
CEP3,", "
CEQ3,", "
CEQ5,", "
CER2,", "
CER3,", "
CES4,", "
CET9,", "
CEU2,", "
CEV3,", "
CEV7,", "
CEW3,", "
CEX3,", "
CEY3,", "
CEZ4,", "
CFB6,", "
CFD4,", "
CFF7,", "
CFG3,", "
CFH4,", "
CFL2,", "
CFN7,", "
CFP7,", "
CFS5,", "
CFS6,", "
CFT8,", "
CFT9,", "
CFX2,", "
CFX4,", "
CJA3,", "
CJB3,", "
CJB8,", "
CJC5,", "
CJD5,", "
CJE3,", "
CJJ4,", "
CJJ8,", "
CJK4,", "
CJL6,", "
CJM5,", "
CJQ3,", "
CJQ4,", "
CJQ6,", "
CJR2,", "
CJR4,", "
CJV5,", "
CJW5,", "
CJX5,", "
CJY3,", "
CJZ3,", "
CKB7,", "
CKD5,", "
CKE8,", "
CKH2,", "
CKL5,", "
CKQ5,", "
CKQ6,", "
CL-SC49,", "
CLM2,", "
CMT,", "
CN-0036,", "
CN-0157,", "
CN-0164,", "
CNA3,", "
CNC3,", "
CNE4,", "
CNF4,", "
CNK4,", "
CNL3,", "
CNP3,", "
CNQ3,", "
CNQ4,", "
CNR4,", "
CNY3,", "
CNZ8,", "
CO-0054,", "
CPE4,", "
CPF2,", "
CPF6,", "
CPL5,", "
CPL6,", "
CPR7,", "
CPT2,", "
CPU6,", "
CPV9,", "
CPZ3,", "
CRF5,", "
CSB3,", "
CSC3,", "
CSD4,", "
CSE4,", "
CSE5,", "
CSG3,", "
CSG5,", "
CSH4,", "
CSJ4,", "
CSK3,", "
CSL3,", "
CSM3,", "
CSQ3,", "
CSR3,", "
CSR8,", "
CSS3,", "
CSU3,", "
CSY3,", "
CTA4,", "
CTG3,", "
CTT5,", "
CYAB,", "
CYAG,", "
CYAM,", "
CYAU,", "
CYAV,", "
CYAW,", "
CYAX,", "
CYAY,", "
CYAZ,", "
CYBB,", "
CYBC,", "
CYBD,", "
CYBE,", "
CYBF,", "
CYBG,", "
CYBK,", "
CYBL,", "
CYBR,", "
CYBW,", "
CYBX,", "
CYCB,", "
CYCC,", "
CYCE,", "
CYCG,", "
CYCH,", "
CYCK,", "
CYCL,", "
CYCN,", "
CYCO,", "
CYCP,", "
CYCQ,", "
CYCT,", "
CYCW,", "
CYCY,", "
CYCZ,", "
CYDA,", "
CYDB,", "
CYDC,", "
CYDF,", "
CYDL,", "
CYDN,", "
CYDO,", "
CYDQ,", "
CYEE,", "
CYEG,", "
CYEK,", "
CYEL,", "
CYEM,", "
CYEN,", "
CYES,", "
CYET,", "
CYEU,", "
CYEV,", "
CYEY,", "
CYFB,", "
CYFC,", "
CYFD,", "
CYFE,", "
CYFJ,", "
CYFO,", "
CYFR,", "
CYFS,", "
CYGB,", "
CYGD,", "
CYGE,", "
CYGH,", "
CYGK,", "
CYGL,", "
CYGM,", "
CYGP,", "
CYGQ,", "
CYGR,", "
CYGT,", "
CYGV,", "
CYHB,", "
CYHD,", "
CYHF,", "
CYHI,", "
CYHK,", "
CYHM,", "
CYHN,", "
CYHR,", "
CYHU,", "
CYHY,", "
CYHZ,", "
CYIB,", "
CYID,", "
CYIF,", "
CYIK,", "
CYIO,", "
CYJM,", "
CYJT,", "
CYKA,", "
CYKD,", "
CYKF,", "
CYKL,", "
CYKM,", "
CYKO,", "
CYKX,", "
CYKY,", "
CYKZ,", "
CYLB,", "
CYLD,", "
CYLI,", "
CYLJ,", "
CYLL,", "
CYLQ,", "
CYLR,", "
CYLS,", "
CYLT,", "
CYLW,", "
CYMA,", "
CYME,", "
CYMG,", "
CYMJ,", "
CYML,", "
CYMM,", "
CYMO,", "
CYMT,", "
CYMW,", "
CYMX,", "
CYMY,", "
CYNA,", "
CYND,", "
CYNH,", "
CYNM,", "
CYOC,", "
CYOD,", "
CYOJ,", "
CYOO,", "
CYOP,", "
CYOS,", "
CYOW,", "
CYPA,", "
CYPC,", "
CYPD,", "
CYPE,", "
CYPG,", "
CYPK,", "
CYPL,", "
CYPN,", "
CYPQ,", "
CYPR,", "
CYPS,", "
CYPT,", "
CYPU,", "
CYPW,", "
CYPX,", "
CYPY,", "
CYPZ,", "
CYQA,", "
CYQB,", "
CYQD,", "
CYQF,", "
CYQG,", "
CYQH,", "
CYQI,", "
CYQK,", "
CYQL,", "
CYQM,", "
CYQN,", "
CYQQ,", "
CYQR,", "
CYQS,", "
CYQT,", "
CYQU,", "
CYQV,", "
CYQW,", "
CYQX,", "
CYQY,", "
CYQZ,", "
CYRB,", "
CYRC,", "
CYRI,", "
CYRJ,", "
CYRL,", "
CYRM,", "
CYRO,", "
CYRP,", "
CYRQ,", "
CYRT,", "
CYRV,", "
CYSA,", "
CYSB,", "
CYSC,", "
CYSG,", "
CYSH,", "
CYSJ,", "
CYSL,", "
CYSM,", "
CYSN,", "
CYSP,", "
CYSR,", "
CYSU,", "
CYSW,", "
CYSY,", "
CYSZ,", "
CYTA,", "
CYTE,", "
CYTF,", "
CYTH,", "
CYTN,", "
CYTR,", "
CYTS,", "
CYTZ,", "
CYUB,", "
CYUL,", "
CYUT,", "
CYUX,", "
CYUY,", "
CYVB,", "
CYVC,", "
CYVG,", "
CYVK,", "
CYVM,", "
CYVO,", "
CYVP,", "
CYVQ,", "
CYVR,", "
CYVT,", "
CYVV,", "
CYWA,", "
CYWG,", "
CYWK,", "
CYWL,", "
CYWV,", "
CYWY,", "
CYXC,", "
CYXD,", "
CYXE,", "
CYXH,", "
CYXJ,", "
CYXK,", "
CYXL,", "
CYXP,", "
CYXR,", "
CYXS,", "
CYXT,", "
CYXU,", "
CYXX,", "
CYXY,", "
CYXZ,", "
CYYB,", "
CYYC,", "
CYYD,", "
CYYE,", "
CYYF,", "
CYYG,", "
CYYH,", "
CYYJ,", "
CYYL,", "
CYYN,", "
CYYO,", "
CYYQ,", "
CYYR,", "
CYYT,", "
CYYU,", "
CYYW,", "
CYYY,", "
CYYZ,", "
CYZD,", "
CYZE,", "
CYZF,", "
CYZH,", "
CYZP,", "
CYZR,", "
CYZS,", "
CYZT,", "
CYZU,", "
CYZV,", "
CYZW,", "
CYZX,", "
CYZY,", "
CZAM,", "
CZBA,", "
CZBB,", "
CZBF,", "
CZBM,", "
CZFA,", "
CZFM,", "
CZGF,", "
CZHP,", "
CZJN,", "
CZML,", "
CZMT,", "
CZNL,", "
CZPC,", "
CZST,", "
CZUC,", "
CZUM,", "
CZVL,", "
DA10,", "
DA11,", "
DA12,", "
DA13,", "
DA14,", "
DA15,", "
DA16,", "
DAAB,", "
DAAD,", "
DAAE,", "
DAAF,", "
DAAG,", "
DAAJ,", "
DAAK,", "
DAAN,", "
DAAP,", "
DAAQ,", "
DAAT,", "
DAAV,", "
DAAY,", "
DAAZ,", "
DABB,", "
